V,Libelle GEN,Libelle ROME,Code ROME,score
Na,Developpeur Back-End,Développeur / Développeuse de positifs de films cinématographiques,E1202,19.6315482035785
Na,Developpeur Back-End,Tireur-développeur / Tireuse-développeuse en photographie,E1203,30.6425332012762
Na,Ingénieur en Machine Learning,Maquettiste en conception industrielle,H1203,24.4653854125151
Na,Chef de projet agile,Chef de groupe média planning,E1402,55.8878624535836
Na,Chef de projet web,Chef de laboratoire photographique,E1203,40.617498529913
Na,Chef de projet technique,Chef de projet en linguistique informatique,M1803,56.8810673543623
Na,Administrateur système et réseau,Administrateur / Administratrice sécurité informatique,M1801,51.9000143816993
Na,Technicien réseau,Pupitreur / Pupitreuse réseau informatique,M1810,15.9950217175086
Na,Directeur de projet,Directeur / Directrice des services informatiques -DSI-,M1803,18.0657414171562
Na,Administrateur Système d'information,Traducteur / Traductrice d'édition,E1108,22.6356743433815
Na,Développeur Mobile,Gendarme mobile,K1706,20.8684929249489
Na,Chef de projet agile,Chef de projet publicitaire,E1401,34.2344777533021
Na,Chef de projet systèmes d'information,Responsable sécurité des systèmes d'information,M1802,6.41593546179484
Na,Chef de projet systèmes d'information,Conducteur / Conductrice d'autoplatines,E1302,25.0332829880402
Na,Développeur blockchain,Développeur / Développeuse front-end,M1805,44.5534924332114
Na,Fablab manager,Consultant / Consultante en organisation et management,M1402,20.0456007327837
Na,Ingénieur logiciel en robotique,Chargé / Chargée de voyages en entreprise,M1605,44.478642195667
Na,Webmaster,Agent / Agente de maintenance de matériels de reprographie,I1401,31.4495489104805
Na,Technicien d'exploitation,Technicien électronicien / Technicienne électronicienne d'études,H1209,52.0426911041669
Na,Chef de projet digital,Chef de projet en géomatique,M1808,19.2753802294816
Na,Développeur blockchain,Tireur-développeur / Tireuse-développeuse en photographie,E1203,10.8958115161997
Na,Architecte base de données,Administrateur / Administratrice de compagnie de danse,L1302,23.9598456736035
Na,Responsable communication digitale,Responsable de communication interne,E1103,19.1855071283423
Na,Expert SEO,Expert / Experte en olfactométrie,H1505,59.4433359599947
Na,Ingénieur DevOps,Ingénieur / Ingénieure télécommunication,M1804,42.9586497114717
Na,Créateur d'entreprise,Dessinateur / Dessinatrice d'études en électronique,H1202,37.8098845603289
Na,Forgeur numérique,Stéréographe 3D,E1205,20.4721554403943
Na,Expert en technologie de l’information,Ingénieur / Ingénieure en armement en industrie,H1206,41.6660973415252
Na,Directeur de projet,Chef de projet en organisation,M1402,19.2235164814012
Na,Chef de projet communication digitale,Chef de création artistique communication multimédia,E1104,36.8565207557713
Na,Ingenieur systèmes,Administrateur / Administratrice système informatique,M1801,54.0889543808837
Na,Community manager,Office manager,M1604,6.25068129410963
Na,Technicien de déploiement de fibre optique,Technicien physicien / Technicienne physicienne de laboratoire de recherche-développement,H1210,13.1993808510433
Na,Expert systèmes et réseaux,Expert / Experte système et réseaux,M1802,73.0728293892362
Na,Technicien cloud,Technicien / Technicienne système informatique,M1810,17.7720576694481
Na,Développeur d'applications,Développeur / Développeuse full-stack,M1805,14.8536651665928
Na,Développeur Web / Mobile,Webmaster développeur / développeuse,M1805,37.9160698816105
Na,Ingénieur en Machine Learning,Ingénieur / Ingénieure recherche développement énergies renouvelables en industrie,H1206,16.1722167949277
Na,Chargé de production vidéos,Chargé / Chargée de production audiovisuelle,L1302,67.2310432890837
Na,Gestionnaire de base de données,Installateur / Installatrice de matériels de reprographie,I1401,46.6505799517575
Na,Intégrateur web,Intégrateur / Intégratrice d'application informatique,M1805,21.8730894491953
Na,Gestionnaire de base de données,Opérateur / Opératrice de télécinéma,E1202,5.82432907361387
Na,Chef de projet technique,Chef de projet en organisation,M1402,15.1661934413312
Na,Chargé de marketing digital,Directeur / Directrice de clientèle d'agence de publicité,E1401,43.5507896131228
Na,Expert systèmes et réseaux,Responsable des systèmes informatiques,M1803,17.6653229249898
Na,Développeur de jeux vidéos,Lead programmeur / programmeuse - jeux vidéo,M1805,86.8114427426924
Na,Infographiste,Infographiste web master,E1205,47.3433050568664
Na,Délégué à la protection des données (DPD),Ingénieur / Ingénieure des travaux de la météorologie,M1809,7.53103434696236
Na,Technicien système et réseau,Technicien / Technicienne système informatique,M1810,77.3920860382714
Na,Chef de projet communication digitale,Producer chef de projet jeux vidéo,E1104,2.10348473974373
Na,Développeur Mobile,Conducteur / Conductrice de grue mobile,N1104,22.2170425432743
Na,Réalisateur de jeux vidéos,Journaliste de presse radiophonique,E1106,52.9198336810941
Na,Développeur de jeux vidéos,Développeur / Développeuse de logiciel de simulation optique et réalité virtuelle,M1805,41.3945769970989
Na,Intégrateur web,Journaliste Web,E1106,27.9523673325136
Na,Vidéaste,Rédacteur / Rédactrice de presse,E1106,1.49014459296338
Na,Game designer,Game designer - jeux web online,E1104,51.6429716701395
Na,Expert en technologie de l’information,Technicien / Technicienne en reprographie,E1307,31.8253756561045
Na,Technicien helpdesk,Technicien / Technicienne en télécommunications,I1307,9.30782277791963
Na,Animateur 3D,Animateur / Animatrice 3D - films d'animation,L1510,89.1682897821092
Na,UI Designer,Designer / Designeuse ergonome,H1204,89.5769837618525
Na,Motion Designer,Designer / Designeuse maquettiste,H1204,40.572044788025
Na,Chef de projet agile,Chef de projet évènementiel,E1107,48.844991135621
Na,Chargé de projet Data,Chef de projet études socio-économiques,M1403,38.6180629345317
Na,Développeur IA,Gestionnaire de production informatique,M1810,24.7837775652283
Na,Administrateur réseau,Contrôleur / Contrôleuse de réseau informatique,M1810,50.8342626329103
Na,Technicien en télécommunication,Dessinateur / Dessinatrice en outillage,H1203,10.9119314790128
Na,Technicien système et réseau,Technicien / Technicienne en électricité et électronique études et développement,H1209,17.5135386156826
Na,Chef de projet systèmes d'information,Chef de projet maîtrise d'ouvrage des systèmes d'information,M1806,79.9753657916476
Na,Développeur Web,Développeur / Développeuse web mobile,M1805,27.141618714439
Na,Responsable e-commerce,Chargé / Chargée de clientèle e-commerce,M1704,48.0105532351533
Na,UI Designer,Directeur / Directrice des publications,E1105,57.1075887325639
Na,Responsable CRM,Responsable «Brun»,I1402,47.2045222792868
Na,Créateur d'entreprise,Second / Seconde d'atelier,H1205,11.1977083049487
Na,Chef de projet digital,Chef de produit digital,M1703,97.6646303265702
Na,Délégué à la protection des données (DPD),Administrateur / Administratrice de la messagerie,M1801,43.7150329187933
Na,Chef de projet systèmes d'information,Conducteur / Conductrice de machines d'affranchissement,E1302,35.5012103512755
Na,Technicien de déploiement de fibre optique,Directeur / Directrice de département télécoms,M1803,22.2904362690975
Na,Chargé de production vidéos,Secrétaire de production de spectacles,L1302,52.0485960512097
Na,Conseiller support technique,Technicien / Technicienne support client,H1101,8.84446522817481
Na,Intégrateur web,Rédacteur / Rédactrice web,E1104,47.2092198756269
Na,Ingenieur systèmes,Ingénieur / Ingénieure études et procédés industriels,H1206,34.1276056699987
Na,Data Architect,Data scientist,M1403,13.8681863115831
Na,Content manager,Social media manager - Responsable des médias sociaux,E1103,5.01814338539572
Na,Développeur de jeux vidéos,Programmeur / Programmeuse - jeux vidéo,M1805,12.4633148327011
Na,Chef de projet agile,Chef de projet TMA - Tierce Maintenance Applicative,M1805,50.3349885946551
Na,Gestionnaire de parc micro-informatique,Ingénieur / Ingénieure d'étude et développement informatique,M1805,41.7984209044836
Na,Motion Designer,Designer / Designeuse d'interactivité,E1205,23.6616102426341
Na,Chef de projet digital,Directeur / Directrice de projet en informatique,M1803,79.8997365381682
Na,Ingénieur DevOps,Ingénieur / Ingénieure de suivi d'affaires en industrie,H1102,24.5563521019887
Na,Chef de projet agile,Chef d'atelier de routage,E1302,14.7617532701053
Na,Responsable sécurité des systèmes d'information,Agent / Agente d'exploitation des systèmes d'information et de communication aux armées,M1807,31.2748369671097
Na,Ingenieur systèmes,Ingénieur / Ingénieure instrumentation en industrie,H1206,5.06081037487645
Na,Technicien base de données,Administrateur / Administratrice de compagnie de danse,L1302,3.17322993820319
Na,Directeur de projet,Directeur / Directrice d'antenne télévision,L1302,45.1133094068539
Na,Chef de projet web,Designer-chef / Designeuse-chef de projet,H1204,39.6310601803908
Na,Chef de projet web,Chef de projet publicitaire,E1401,41.7319679697906
Na,Entrepreneur digital,Chief digital officer - Responsable de la transformation digitale,M1402,41.4365896179716
Na,Technicien de déploiement de fibre optique,Ingénieur / Ingénieure déploiement télécoms,M1804,38.5530490443482
Na,Chef de projet communication digitale,Consultant / Consultante en communication,E1103,9.14501731384414
Na,Développeur blockchain,Webmaster développeur / développeuse,M1805,10.2591050130667
Na,Directeur de projet,Directeur / Directrice d'antenne radio,L1302,8.57992699338221
Na,Chef de projet agile,Designer-chef / Designeuse-chef de projet,H1204,3.59714235106783
Na,Responsable sécurité des systèmes d'information,Exploitant / Exploitante des télécommunications,M1807,18.5059943011067
Na,Technicien base de données,Producteur / Productrice de musique,L1302,31.5560866721817
Na,Ingénieur en Machine Learning,Ingénieur / Ingénieure en composants électroniques en industrie,H1206,59.1056187594741
Na,Développeur blockchain,Architecte de données informatiques,M1802,2.51812870634197
Na,Responsable Sécurité de l'information,Spécialiste de l'information géographique,M1808,29.9471782139353
Na,Forgeur numérique,Consultant / Consultante en accessibilité numérique,M1806,46.3120731093418
Na,Chef de projet digital,Chef de projet en organisation,M1402,43.6327614598313
Na,Réalisateur de jeux vidéos,Concepteur / Conceptrice de jeux web online,E1104,78.8720063540704
Na,Chef de projet systèmes d'information,Responsable de projets « métiers » système d'information,M1806,33.1096300833962
Na,Chef de projet digital,Chef de projet maîtrise d'ouvrage des systèmes d'information,M1806,34.793172360383
Na,Réalisateur de jeux vidéos,Rédacteur / Rédactrice de presse,E1106,26.8221340365741
Na,Technicien système et réseau,Technicien / Technicienne galéniste,H1210,27.2400482895984
Na,Ingénieur en Machine Learning,Ingénieur / Ingénieure biologiste en industrie,H1206,45.1623552975559
Na,Technicien cybersécurité,Technicien / Technicienne informatique,M1810,34.9345480628276
Na,Technicien réseau,Opérateur / Opératrice d'entretien et de surveillance du réseau routier,I1202,9.38765782609812
Na,Responsable Sécurité de l'information,Post auditeur / Post auditrice en sécurité des systèmes d'information,M1802,15.0343478079226
Na,Technicien système et réseau,Opérateur / Opératrice d'entretien et de surveillance du réseau routier,I1202,31.1441089694811
Na,Community manager,Designer manager,H1204,11.2677668548226
Na,Technicien en télécommunication,Technicien supérieur / Technicienne supérieure en automatique,H1208,38.4824915857733
Na,Analyste cybersécurité,Correcteur / Correctrice à domicile,E1305,59.3665999232809
Na,Expert en système d’information,Auditeur / Auditrice en système d'information,M1802,65.3595360976501
Na,Chef de projet technique,Chief Technical Officer - CTO,M1802,8.41715319716135
Na,Analyste SOC,Analyste cogniticien / cogniticienne informatique,M1805,38.9433263387034
Na,Game designer,Programmeur / Programmeuse - jeux vidéo,M1805,51.2415001397888
Na,Fablab manager,Animateur / Animatrice d'atelier d'écriture,G1202,57.9023067910063
Na,Technicien système et réseau,Technicien / Technicienne en sciences des matériaux,H1210,13.4505214585578
Na,Directeur de projet,Responsable de projet architecture informatique,M1803,46.2340782579304
Na,Directeur de projet,Directeur / Directrice de cirque,L1302,37.9654678229959
Na,Chef de projet web,Analyste de gestion informatique,M1805,49.2329701246742
Na,Chef de projet digital,Chef d'atelier signalétique,E1306,40.4652991335814
Na,Ingénieur en Machine Learning,Ingénieur / Ingénieure en cristallographie en industrie,H1206,46.6251694016288
Na,IA product Manager,Project Manager,M1803,36.3033375393519
Na,Technicien d'exploitation,Technicien / Technicienne de maintenance d'équipements d'exploitation,I1304,7.68555510254948
Na,Developpeur Back-End,Responsable d'animation en centre de vacances,G1202,51.1485528017445
Na,Technicien cybersécurité,Technicien / Technicienne programmation,M1805,40.5479787015077
Na,Pen testeur,Pendulier / Pendulière,B1604,18.2841636808506
Na,Chargé de projet Data,Chef de projet utilisateurs des systèmes d'information,M1806,50.4557409426852
Na,Product Manager,Consultant / Consultante en organisation et management,M1402,10.9479142926713
Na,Responsable Sécurité de l'information,Responsable de laboratoire de tirage cinématographique,E1202,59.5510360471202
Na,Chef de projet web,Chef de produit web,M1703,25.647415213583
Na,Technicien de déploiement de fibre optique,Technicien / Technicienne de laboratoire de tirage cinématographique,E1202,8.35626029373048
Na,Developpeur Front-End,Ingénieur / Ingénieure d'études en industrie,H1206,2.79794152382124
Na,Gestionnaire de parc micro-informatique,Programmeur / Programmeuse de maintenance informatique,M1805,23.3580795454018
Na,Créateur d'entreprise,Juriste international / internationale d'entreprise,K1903,42.9071380566859
Na,Ingenieur systèmes,Ingénieur / Ingénieure formulation en industrie,H1206,25.2714619762616
Na,Vidéaste,Directeur / Directrice de création communication multimédia,E1104,33.1975164262904
Na,Developpeur Front-End,Technicien / Technicienne en développement,H1210,38.9622933856977
Na,Ingénieur en Machine Learning,Ingénieur / Ingénieure d'exploitation des moyens en industrie,H1206,48.0012445057128
Na,Motion Designer,Designer / Designeuse en bijouterie,B1805,33.979885285802
Na,Gestionnaire de parc micro-informatique,Administrateur / Administratrice système informatique,M1801,30.1262441707051
Na,Responsable sécurité des systèmes d'information,Directeur / Directrice des systèmes d'information et télécoms,M1803,54.1900250805467
Na,Chef de projet agile,Chef de projet développement logiciel,M1803,12.706210014314
Na,Technicien base de données,Professeur / Professeure de yoga,G1202,17.4374635886462
Na,Developpeur Back-End,Ingénieur / Ingénieure en aérospatiale en industrie,H1206,55.169399449162
Na,Forgeur numérique,Régleur / Régleuse sur machine-outil à commande numérique,H2912,41.5033945727377
Na,Technicien en télécommunication,Rédacteur / Rédactrice en chef,E1106,51.75126077186
Na,Ingénieur DevOps,Ingénieur informaticien / Ingénieure informaticienne,M1805,28.2913595271749
Na,Forgeur numérique,Responsable d'atelier d'impression,E1303,22.2861194604341
Na,Technicien en télécommunication,Technicien / Technicienne en implantation et routage électronique,H1202,24.7794294548018
Na,Ingénieur IOT,Ingénieur / Ingénieure réseau informatique,M1802,27.1735667005812
Na,Expert Sécurité IT,Expert / Experte en sécurité des systèmes d'exploitation,M1802,66.0662379022691
Na,Security Architect,Architecte conseiller / conseillère,F1101,14.633641009699
Na,Chef de projet web,Chef de projet développement logiciel,M1803,8.69981389015764
Na,Développeur blockchain,Développeur / Développeuse décisionnel - Business Intelligence,M1805,23.2943228831961
Na,Data Scientist,Data scientist,M1403,42.3678817903565
Na,Architecte IoT,Architecte cloud,M1802,2.3693149654279
Na,Chef de projet systèmes d'information,Opérateur / Opératrice d'exécution de façonnage,E1304,25.5744442452127
Na,Expert en technologie de l’information,Ingénieur / Ingénieure en biotechnologie en industrie,H1206,58.8147670021044
Na,Fablab manager,Avocat / Avocate d'affaires,K1903,43.544938124177
Na,Ingénieur DevOps,Responsable de la programmation de spectacles,L1302,58.9984596469268
Na,Game designer,Responsable de gamme produits,M1703,32.1487369596945
Na,Ingenieur systèmes,Ingénieur / Ingénieure brevet en industrie,H1206,52.9750140044884
Na,Data Architect,Collaborateur / Collaboratrice d'architecte,F1104,39.1205583511018
Na,Chef de projet digital,Chef d'atelier de reprographie,E1307,17.1510305639432
Na,Technicien base de données,Opérateur / Opératrice de prépresse,E1306,46.500134067347
Na,Technicien de déploiement de fibre optique,Architecte réseaux de télécoms,M1804,46.4345186138605
Na,Technicien système et réseau,Technicien / Technicienne de laboratoire d'essais,H1210,6.74411651042972
Na,Chef de projet agile,Chef d'atelier prépresse,E1306,56.2077793375426
Na,Expert Sécurité IT,Expert traducteur / Experte traductrice interprète,E1108,44.5894665618003
Na,Traffic manager,Social media manager - Responsable des médias sociaux,E1103,18.9498152411361
Na,Gestionnaire de base de données,Conducteur / Conductrice de rotatives,E1301,51.9622191339176
Na,Technicien système et réseau,Technicien / Technicienne en mesures physiques et essais,H1210,55.2869145682632
Na,Expert systèmes et réseaux,Directeur / Directrice des systèmes d'information et télécoms,M1803,44.0447519001772
Na,Directeur de projet,Responsable de projet architecture télécoms,M1803,56.8266462543495
Na,Conseiller support technique,Responsable support technique clients,H1101,27.2474745564644
Na,Technicien helpdesk,Ingénieur / Ingénieure assistance technique,H1101,1.15456744615581
Na,Infographiste,Photographe en industrie graphique,E1201,13.7965484222584
Na,Technicien en télécommunication,Receveur / Receveuse en façonnage,E1304,18.2602211436423
Na,Technicien base de données,Organisateur / Organisatrice de soirées,E1107,24.2717134330007
Na,Gestionnaire de base de données,Pharmacologue de l'industrie,H1206,26.8747338319981
Na,Chef de projet digital,Chef d'équipe en industrie graphique,E1303,56.0090018071838
Na,Chef de projet web,Chef de projet internet,M1803,86.2342851455238
Na,UI Designer,Designer / Designeuse graphique,E1205,36.5175908731281
Na,Chef de projet digital,Chef de publicité d'agence,E1401,38.5836517801652
Na,Technicien en télécommunication,Responsable télécoms,M1803,54.5589199788838
Na,Technicien helpdesk,Technicien exploitant / Technicienne exploitante navires,N3201,29.0781283291407
Na,Technicien helpdesk,Technicien / Technicienne en robotique,H1208,44.7172458881473
Na,Architecte base de données,Canneur / Canneuse de chaises,B1401,59.9922112989251
Na,Technicien base de données,Conducteur / Conductrice de machines de routage,E1302,5.63948641178671
Na,Technicien helpdesk,Technicien / Technicienne coloriste en industrie,H1201,24.2796792534243
Na,Ingénieur en Machine Learning,Ingénieur / Ingénieure en génie chimique en industrie,H1206,30.362721089782
Na,Spécialiste support,Ingénieur / Ingénieure support technique,H1101,20.7015223867988
Na,Administrateur Système d'information,Directeur / Directrice des systèmes d'information,M1803,7.47395071728284
Na,Ingénieur en Machine Learning,Ingénieur / Ingénieure de suivi d'affaires en industrie,H1102,37.9011429140696
Na,Développeur de jeux vidéos,Concepteur développeur / Conceptrice développeuse de système électronique,H1209,40.5662342264029
Na,Développeur de jeux vidéos,Directeur / Directrice artistique - jeux vidéo,E1104,48.0915316737938
Na,Technicien helpdesk,Technicien / Technicienne en reprographie,E1307,14.9413102903289
Na,Technicien en télécommunication,"Technicien / Technicienne en conception électronique, électrique",H1202,21.1591197706888
Na,Chargé de marketing digital,Chargé / Chargée de postproduction,L1302,11.2897309217141
Na,Développeur blockchain,Développeur / Développeuse back-end,M1805,49.7618094284951
Na,Chef de projet systèmes d'information,Exploitant / Exploitante des systèmes de guerre électronique,M1807,40.2603862600634
Na,Ingenieur systèmes,Ingénieur / Ingénieure hydrochimiste en industrie,H1206,27.745556434227
Na,Chargé de production vidéos,Ingénieur / Ingénieure de production informatique,M1810,5.36121395322295
Na,Chef de projet agile,Chef de batterie géographie,M1808,20.7091091707304
Na,Responsable marketing digital,Responsable marketing Internet,M1705,84.5858777556667
Na,Ingenieur systèmes,Ingénieur / Ingénieure d'études-développement,H1206,56.5762467127924
Na,Expert Sécurité IT,Expert / Experte qualité informatique,M1802,41.1189346815764
Na,Gestionnaire de parc micro-informatique,Technicien / Technicienne de maintenance en micro-informatique,I1401,82.9071381344216
Na,Journaliste web,Journaliste Web,E1106,66.1413520255514
Na,Analyste cybersécurité,Analyste prix / pricing,M1403,28.3647949523057
